realisation,NoEvents,NoTriggers,MaxTriggersYear,TriggerPerYear,YearsPerTrigger
224.0,154.0,4.0,1.0,0.2,5.0
225.0,156.0,5.0,1.0,0.25,4.0
226.0,154.0,5.0,1.0,0.25,4.0
227.0,153.0,5.0,1.0,0.25,4.0
228.0,154.0,5.0,1.0,0.25,4.0
229.0,157.0,4.0,1.0,0.2,5.0
230.0,162.0,4.0,1.0,0.2,5.0
231.0,159.0,5.0,1.0,0.25,4.0
232.0,159.0,6.0,1.0,0.3,3.3333333333333335
233.0,160.0,7.0,1.0,0.35,2.857142857142857
234.0,162.0,7.0,1.0,0.35,2.857142857142857
235.0,162.0,7.0,1.0,0.35,2.857142857142857
236.0,161.0,7.0,1.0,0.35,2.857142857142857
237.0,155.0,7.0,1.0,0.35,2.857142857142857
238.0,153.0,7.0,1.0,0.35,2.857142857142857
239.0,145.0,7.0,1.0,0.35,2.857142857142857
240.0,142.0,7.0,1.0,0.35,2.857142857142857
241.0,134.0,7.0,1.0,0.35,2.857142857142857
242.0,127.0,7.0,1.0,0.35,2.857142857142857
243.0,129.0,7.0,1.0,0.35,2.857142857142857
244.0,130.0,6.0,1.0,0.3,3.3333333333333335
245.0,127.0,6.0,1.0,0.3,3.3333333333333335
246.0,131.0,6.0,1.0,0.3,3.3333333333333335
247.0,136.0,7.0,1.0,0.35,2.857142857142857
248.0,139.0,7.0,1.0,0.35,2.857142857142857
249.0,138.0,8.0,1.0,0.4,2.5
250.0,129.0,8.0,1.0,0.4,2.5
251.0,126.0,8.0,1.0,0.4,2.5
252.0,126.0,7.0,1.0,0.35,2.857142857142857
253.0,125.0,7.0,1.0,0.35,2.857142857142857
254.0,123.0,6.0,1.0,0.3,3.3333333333333335
255.0,128.0,5.0,1.0,0.25,4.0
256.0,126.0,5.0,1.0,0.25,4.0
257.0,134.0,5.0,1.0,0.25,4.0
258.0,136.0,6.0,1.0,0.3,3.3333333333333335
259.0,136.0,6.0,1.0,0.3,3.3333333333333335
260.0,133.0,6.0,1.0,0.3,3.3333333333333335
261.0,134.0,7.0,1.0,0.35,2.857142857142857
262.0,138.0,8.0,1.0,0.4,2.5
263.0,142.0,9.0,1.0,0.45,2.2222222222222223
264.0,145.0,9.0,1.0,0.45,2.2222222222222223
265.0,147.0,8.0,1.0,0.4,2.5
266.0,142.0,9.0,1.0,0.45,2.2222222222222223
267.0,139.0,8.0,1.0,0.4,2.5
268.0,137.0,9.0,1.0,0.45,2.2222222222222223
269.0,135.0,8.0,1.0,0.4,2.5
270.0,142.0,8.0,1.0,0.4,2.5
271.0,141.0,7.0,1.0,0.35,2.857142857142857
272.0,143.0,8.0,1.0,0.4,2.5
273.0,144.0,8.0,1.0,0.4,2.5
274.0,139.0,8.0,1.0,0.4,2.5
275.0,132.0,8.0,1.0,0.4,2.5
276.0,130.0,8.0,1.0,0.4,2.5
277.0,125.0,8.0,1.0,0.4,2.5
278.0,126.0,7.0,1.0,0.35,2.857142857142857
279.0,130.0,8.0,1.0,0.4,2.5
280.0,134.0,8.0,1.0,0.4,2.5
281.0,137.0,7.0,1.0,0.35,2.857142857142857
282.0,135.0,7.0,1.0,0.35,2.857142857142857
283.0,137.0,6.0,1.0,0.3,3.3333333333333335
