District_id,Year,Simulated_event,Observed_event,Observed_vhi,Ens_mean_vhi,Ens_sd_vhi
727,2021,0.0,0.0,52.482000000000006,63.11815384615384,6.005018207286307
729,1983,1.0,1.0,38.859,40.633435897435895,5.698862697232004
729,1984,0.0,0.0,47.136,45.024076923076926,5.7054522120461115
729,1985,0.0,1.0,30.666000000000004,47.349487179487184,5.718412644611811
729,1986,1.0,1.0,30.802,30.5154358974359,5.696379033489957
729,1987,1.0,1.0,29.776999999999997,39.14338461538461,5.727112431403313
729,1988,0.0,0.0,57.689,59.510435897435904,5.739757945478175
729,1989,1.0,0.0,43.777,43.48010256410256,5.702234932146365
729,1990,1.0,1.0,25.586000000000002,21.160769230769226,5.6962600662853
729,1991,1.0,0.0,45.714000000000006,42.19594871794872,5.699630401741748
729,1992,0.0,0.0,58.919999999999995,57.721102564102544,5.706280547162884
729,1993,0.0,0.0,57.35,59.4884358974359,5.696024807355075
729,1994,0.0,0.0,59.556,48.609102564102564,5.70308831683287
729,1995,0.0,1.0,39.796,,
729,1996,1.0,1.0,40.733999999999995,39.98412820512821,5.716689189767019
729,1997,0.0,1.0,42.120000000000005,45.61720512820513,5.700044616117411
729,1998,0.0,0.0,61.485,59.983076923076915,5.7051886523870925
729,1999,0.0,0.0,54.87199999999999,56.98871794871795,5.698214137559605
729,2000,1.0,1.0,35.858999999999995,38.88917948717949,5.699350200901325
729,2001,1.0,1.0,37.991,31.268666666666668,5.696258674781908
729,2002,1.0,1.0,36.574,34.58092307692308,5.698175985289067
729,2003,0.0,0.0,46.858999999999995,47.92882051282051,5.726191941283209
729,2004,0.0,0.0,45.238,49.82810256410256,5.707841492494573
729,2005,0.0,0.0,60.31999999999999,47.76097435897436,5.701408654140522
729,2006,0.0,0.0,48.897000000000006,52.39028205128205,5.713558812702044
729,2007,0.0,0.0,48.394,57.56628205128205,5.765721717322146
729,2008,0.0,0.0,58.206999999999994,57.14507692307692,5.69561945217023
729,2009,0.0,0.0,50.70399999999999,45.501794871794864,5.709641123042335
729,2010,0.0,0.0,44.885000000000005,52.075589743589745,5.696578513099411
729,2011,0.0,0.0,56.028,61.20907692307692,5.720011056143715
729,2012,0.0,0.0,65.993,58.326615384615366,5.726322611247821
729,2013,0.0,0.0,52.359,59.142435897435895,5.707309388158358
729,2014,0.0,0.0,51.75600000000001,44.99815384615384,5.7141139904120655
729,2015,0.0,0.0,48.216,45.640897435897436,5.701154713524612
