event_ref,year,loss
R02_2016R1_Sim_00282138,2526,14.83886528
R02_2016R1_Sim_00282395,2528,43.258692020000005
R02_2016R1_Sim_00283303,2537,1.2381413000000001
R02_2016R1_Sim_00283768,2542,13.03285026
R02_2016R1_Sim_00284033,2544,7.77198839
R02_2016R1_Sim_00285124,2553,54.49534475
R02_2016R1_Sim_00285377,2555,99.70698116999999
R02_2016R1_Sim_00286150,2563,1.2381413000000001
R02_2016R1_Sim_00286341,2564,96.62480043
R02_2016R1_Sim_00287344,2574,90.07216572000002
R02_2016R1_Sim_00287495,2575,80.91423368
R02_2016R1_Sim_00290038,2599,95.89492118
R02_2016R1_Sim_00290196,2600,22.139838929999996
R02_2016R1_Sim_00292985,2625,65.33714067
R02_2016R1_Sim_00293656,2631,47.10823345
R02_2016R1_Sim_00293887,2633,87.0418384
R02_2016R1_Sim_00294933,2643,5.09598255
R02_2016R1_Sim_00295114,2644,99.70698116999999
R02_2016R1_Sim_00296148,2653,2.47889638
R02_2016R1_Sim_00296684,2658,99.70698116999999
R02_2016R1_Sim_00298329,2673,2.47889638
R02_2016R1_Sim_00298706,2677,86.67413090999999
R02_2016R1_Sim_00298890,2678,99.70698116999999
R02_2016R1_Sim_00299501,2684,7.77198839
R02_2016R1_Sim_00300206,2690,1.2381413000000001
R02_2016R1_Sim_00300409,2691,71.47097348
R02_2016R1_Sim_00301683,2703,99.70698116999999
R02_2016R1_Sim_00304024,2724,16.07700658
R02_2016R1_Sim_00304151,2725,34.43187905
R02_2016R1_Sim_00304396,2727,53.54333555000001
R02_2016R1_Sim_00305664,2739,2.47889638
R02_2016R1_Sim_00305981,2742,50.1424458
R02_2016R1_Sim_00306050,2743,2.47889638
R02_2016R1_Sim_00306074,2743,97.13567626
R02_2016R1_Sim_00306244,2744,48.28247368
R02_2016R1_Sim_00307081,2752,28.58403159
R02_2016R1_Sim_00307336,2754,96.62480043
R02_2016R1_Sim_00308365,2764,7.77198839
R02_2016R1_Sim_00309166,2770,98.65722154
R02_2016R1_Sim_00310617,2784,7.77198839
R02_2016R1_Sim_00311433,2790,60.7905054
R02_2016R1_Sim_00311733,2793,1.2381413000000001
R02_2016R1_Sim_00312006,2795,106.50923668000001
R02_2016R1_Sim_00312420,2799,48.31297743
R02_2016R1_Sim_00312662,2801,80.91423368
R02_2016R1_Sim_00313436,2809,7.77198839
R02_2016R1_Sim_00314274,2816,13.03285026
R02_2016R1_Sim_00314448,2817,1.2381413000000001
R02_2016R1_Sim_00314509,2818,9.3830446
R02_2016R1_Sim_00315197,2824,13.03285026
R02_2016R1_Sim_00317144,2840,1.2381413000000001
R02_2016R1_Sim_00318137,2848,107.68963013999999
R02_2016R1_Sim_00318585,2853,7.77198839
R02_2016R1_Sim_00319562,2861,107.68963013999999
R02_2016R1_Sim_00319904,2864,54.49534475
R02_2016R1_Sim_00320152,2866,99.70698116999999
R02_2016R1_Sim_00321980,2884,13.03285026
R02_2016R1_Sim_00322293,2886,29.824786669999998
R02_2016R1_Sim_00322542,2888,104.52247212999998
R02_2016R1_Sim_00323460,2897,1.2381413000000001
R02_2016R1_Sim_00325373,2914,99.70698116999999
R02_2016R1_Sim_00325694,2917,2.47889638
R02_2016R1_Sim_00326014,2920,50.1424458
R02_2016R1_Sim_00326257,2922,43.133976329999996
R02_2016R1_Sim_00326490,2925,13.03285026
R02_2016R1_Sim_00328144,2939,13.03285026
R02_2016R1_Sim_00328417,2941,53.29778337
R02_2016R1_Sim_00328649,2943,102.36257862
R02_2016R1_Sim_00329842,2955,13.03285026
R02_2016R1_Sim_00330887,2963,2.47889638
R02_2016R1_Sim_00331135,2965,117.34416221999999
R02_2016R1_Sim_00331971,2973,49.51053881
R02_2016R1_Sim_00332035,2974,1.2381413000000001
R02_2016R1_Sim_00332233,2975,46.08605182
R02_2016R1_Sim_00334247,2994,1.2381413000000001
R02_2016R1_Sim_00334492,2996,99.70698116999999
R02_2016R1_Sim_00335958,3009,13.01191259
R02_2016R1_Sim_00336026,3010,1.2381413000000001
R02_2016R1_Sim_00336058,3010,89.15302729
R02_2016R1_Sim_00336208,3011,91.59368251000001
R02_2016R1_Sim_00338269,3030,3.67645776
R02_2016R1_Sim_00338435,3031,101.86687468
R02_2016R1_Sim_00339806,3044,2.47889638
R02_2016R1_Sim_00339951,3046,7.77198839
R02_2016R1_Sim_00340115,3047,108.19763981
R02_2016R1_Sim_00340375,3049,117.34416221999999
R02_2016R1_Sim_00341337,3059,13.03285026
R02_2016R1_Sim_00343022,3073,2.47889638
R02_2016R1_Sim_00343295,3075,109.09573447
R02_2016R1_Sim_00344443,3085,1.2381413000000001
R02_2016R1_Sim_00344514,3086,1.2381413000000001
R02_2016R1_Sim_00345129,3091,15.88865447
R02_2016R1_Sim_00345215,3092,92.72776317
R02_2016R1_Sim_00345398,3093,99.70698116999999
R02_2016R1_Sim_00345790,3097,48.31297743
R02_2016R1_Sim_00346040,3099,119.60220479
R02_2016R1_Sim_00346946,3108,1.2381413000000001
R02_2016R1_Sim_00348566,3122,29.824786669999998
R02_2016R1_Sim_00348637,3123,2.47889638
R02_2016R1_Sim_00348661,3123,6.30558085
R02_2016R1_Sim_00349619,3131,104.52247212999998
R02_2016R1_Sim_00350020,3135,11.773771290000001
R02_2016R1_Sim_00350268,3137,166.02738167
R02_2016R1_Sim_00351470,3149,7.77198839
R02_2016R1_Sim_00352100,3154,2.7776240100000003
R02_2016R1_Sim_00352258,3155,196.50201596
R02_2016R1_Sim_00354904,3179,98.40436196
R02_2016R1_Sim_00355067,3180,85.05708551000001
R02_2016R1_Sim_00356265,3192,13.03285026
R02_2016R1_Sim_00357249,3199,2.47889638
R02_2016R1_Sim_00357758,3204,7.77198839
R02_2016R1_Sim_00358044,3206,11.773771290000001
R02_2016R1_Sim_00358117,3207,7.76242995
R02_2016R1_Sim_00358323,3208,72.62376713
R02_2016R1_Sim_00360030,3224,7.77198839
R02_2016R1_Sim_00361490,3236,1.2381413000000001
R02_2016R1_Sim_00362355,3244,1.2381413000000001
R02_2016R1_Sim_00362541,3245,27.400700800000003
R02_2016R1_Sim_00363522,3254,7.77198839
R02_2016R1_Sim_00365140,3267,98.65722154
R02_2016R1_Sim_00366446,3280,13.01191259
R02_2016R1_Sim_00366746,3282,96.62480043
R02_2016R1_Sim_00367492,3289,1.2381413000000001
R02_2016R1_Sim_00368868,3302,13.03285026
R02_2016R1_Sim_00369561,3307,1.2381413000000001
